Tempo (anos),População de Coelhos (em milhares),População de Linces,k1x,k1y,k2x,k2y
24,40.68689726292951,188.52888939206557,0.15614899229254914,-7.772146423228371,0.47175099466663634,-7.434746913285679
25,41.30880631578139,181.30518725421706,0.46672389879672915,-7.411655597576073,0.7770942069070269,-7.035748678120937
26,42.2358828808367,174.49327957650345,0.7722603988253487,-7.014914116006436,1.0818927312852757,-6.60890123942078
27,43.46962885637237,168.1185610825203,1.077298856481046,-6.589584646433982,1.390193094590295,-6.159852341532304
28,45.015333550627304,162.2015420419523,1.3858743171499492,-6.1414334324771,1.705535071359921,-5.6926046486589135
29,46.88154990037551,156.75940273207794,1.7015101926808804,-5.674566845911603,2.030922506815528,-5.209711773837148
30,49.079522483461226,151.8073716706361,2.0271862185381293,-5.191628457029262,2.368758947633305,-4.712433665854473
31,51.62252779648873,147.35996649611621,2.3652711856281066,-4.693956422586748,2.720739440426909,-4.2008539264529885
32,54.525078461271605,143.4321333643442,2.7174115927623395,-4.18170335315389,3.087689736803401,-3.6739629103901725
33,57.8019340895511,140.04031638958463,3.0843673666958806,-3.6539223435890955,3.4693438898630986,-3.129711605930009
34,61.46685263341073,137.20348288740985,3.4657856800795663,-3.1086241733361177,3.864051407639703,-2.565042831013451
35,65.53100801140663,134.94412232613087,3.859904263251034,-2.5428123675616754,4.268406492740764,-1.9759087549962655
36,70.00099438365345,133.28922571117224,4.263177241035408,-1.9525054248445517,4.67679550345823,-1.3572878050727273
37,74.87633771892,132.2712356380341,4.669820536321406,-1.332759716484494,5.080866134211688,-0.7032204297917345
38,80.14644615491162,131.92893260378537,5.071281833651712,-0.6777131409104411,5.468935038331513,-0.0068929275870645455
39,85.78695945589814,132.3081865198601,5.455654137778075,0.01932048490141859,5.825372464194969,0.7391873472480256
40,91.75551498767162,133.46244895908617,5.807074858516982,0.7656621110738402,6.130036205029976,1.542862767378332
41,97.9870465563399,135.45278640464187,6.105187261777534,1.568919819029896,6.357875875559048,2.4117550720814953
42,104.38888874259113,138.34715387664247,6.324790823650375,2.436395575246259,6.478893548852082,3.352339368754926
43,110.83618699275938,142.21848294057452,6.43587209463526,3.3741333437515695,6.458724405701242,4.368524784112515
44,117.16841699869512,147.1410209715458,6.404283029523801,4.3854757337821155,6.260176982347683,5.45960032816042
45,123.18817554851344,153.1842444804326,6.193402896931204,5.468998825084158,5.846114202705432,6.617448192689437
46,128.66375177881082,160.40364863066588,5.767147509380757,6.615748041887324,5.184004951214,7.823060258579249
47,133.33718255919004,168.8279040943335,5.0946151239305815,7.805843341378312,4.252246436827862,9.04266758595689
48,136.93931241315317,178.44242617924374,4.156399442526438,9.004804741764895,3.0478602653998323,10.224239428055595
49,139.21253610097313,189.1704632512667,2.9520793363101543,10.160389051980983,1.5943680393297581,11.295685092064929
50,139.94018506120685,200.85439466330513,1.5076072755898493,11.201262884503437,-0.05230935512239288,12.166599939573379
51,138.97900431513406,213.24173445036604,-0.1195641472982251,12.039249586475185,-1.8027973448473313,12.735429987646631
52,136.2884839138143,225.98161324469902,-1.8403230693172794,12.576785176314813,-3.5407177333222504,12.902972412351135
53,131.94920480142167,238.6371541163254,-3.5409946787551076,12.72016240194205,-5.137563546030161,12.590919341310713
54,126.16326491105643,250.71626804582834,-5.098141761439113,12.397010392417414,-6.473738019291376,11.761217466588462
55,119.23391830552966,261.7181579338511,-6.3985299607659885,11.573881499311003,-7.460163250287568,10.429898276734512
56,111.52773015752146,271.1870581750539,-7.35889780105258,10.26822882745042,-8.053478494963821,8.669571654955117
57,103.42815208331197,278.7612880295836,-7.939331014855192,8.549912392355173,-8.2598251335638,6.598547316704334
58,95.29168078169823,284.2066387837971,-8.146134476601311,6.530861850897019,-8.126808126626159,4.359839657529842
59,87.41570163318075,287.4281638838291,-8.024192142685362,4.3459971963212425,-7.727766154349617,2.0970530037427273
60,80.0221788863229,288.46105515760274,-7.642594288405631,2.131481504335453,-7.144451205310042,-0.06569895678809552
61,73.25620027965944,287.4464445810951,-7.0788463802945625,0.006397744950924736,-6.4531108330323725,-2.0356188979662506
62,67.19509066816812,284.60001850633614,-6.4059942579768405,-1.9384812525788773,-5.716224965005787,-3.7543708969389895
63,61.86292832039399,280.1804980131433,-5.684705914061958,-3.6442774328113106,-4.979618781486307,-5.194763553574448
64,57.24616356941192,274.4626546980523,-4.960200401280574,-5.0816537756920885,-4.273329100683566,-6.354032854489849
65,53.30761122320744,267.7169603852814,-4.262701310657341,-6.245078351304459,-3.6144033817516212,-7.246310274237287
66,49.99757546632146,260.1960188237926,-3.6098293974359206,-7.1460051887451055,-3.0102421163360438,-7.895877934232559
67,47.26191096559516,252.1268118692373,-3.009654993914678,-7.8065114187244395,-2.461674007537908,-8.33190249038619
68,45.04739430003576,243.70737050482575,-2.463612741484222,-8.254150014935728,-1.9654205896345773,-8.584732713887359
69,43.3049947028178,235.10649731146714,-1.9689031529486378,-8.518207627430268,-1.5158960414872882,-8.683538759286927
70,41.99163722313244,226.46539464535778,-1.520286680107572,-8.62723416424624,-1.1064282792631366,-8.65497116797249
71,41.07095805777991,217.90034031366017,-1.1113252509148954,-8.607578876087238,-0.7300330797901656,-8.522529787307967
72,40.51343111092982,209.50581929384097,-0.7351841262423237,-8.482651487294508,-0.3798697674578524,-8.306390552343883
73,40.29613224908638,201.35773413750002,-0.38511335511397404,-8.27266596620734,-0.049484368572923966,-8.023504346474597
